City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,bredasdorp,-34.5322,20.0403,12.86,76,20,3.28,ZA,1712884126
128,huntsville,34.7304,-86.5861,14.1,93,100,4.47,US,1712884063
129,lefka,35.1106,32.8506,16.99,72,9,0.96,CY,1712884127
130,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712884127
131,punta arenas,-53.15,-70.9167,8.06,71,40,18.01,CL,1712883621
132,udachny,66.4167,112.4,-19.2,89,68,4.08,RU,1712883914
133,la foa,-21.7108,165.8276,26.2,63,89,3.09,NC,1712884127
134,taroa,8.7058,171.2275,27.55,80,100,8.24,MH,1712884127
135,jamestown,42.097,-79.2353,15.95,98,75,6.69,US,1712883639
136,nabire,-3.3667,135.4833,28.61,72,98,0.38,ID,1712883990
137,ulan bator,47.9077,106.8832,3.07,56,40,1.0,MN,1712884128
138,port augusta,-32.5,137.7667,18.59,50,60,2.04,AU,1712884128
139,xai-xai,-25.0519,33.6442,21.54,67,99,6.06,MZ,1712883948
140,ust-nera,64.5667,143.2,-4.15,86,63,2.69,RU,1712883908
141,pizarro,4.9533,-77.366,26.4,85,76,1.89,CO,1712884128
142,tres arroyos,-38.3739,-60.2798,9.37,69,100,3.74,AR,1712884128
143,namibe,-15.1961,12.1522,22.49,74,7,3.03,AO,1712884128
144,sanctuary point,-35.1114,150.629,19.55,61,0,2.18,AU,1712884128
145,port alfred,-33.5906,26.891,13.43,84,100,2.24,ZA,1712883921
146,praia da vitoria,38.7333,-27.0667,16.53,97,100,3.0,PT,1712884085
147,vilyuysk,63.7553,121.6247,-18.89,96,13,2.68,RU,1712884129
148,puerto baquerizo moreno,-0.9,-89.6,25.53,86,69,3.72,EC,1712884129
149,port isabel,26.0734,-97.2086,25.04,58,0,4.12,US,1712884129
150,mount pearl,47.5166,-52.7813,1.75,82,5,0.45,CA,1712884129
151,karratha,-20.7377,116.8463,28.64,60,3,3.42,AU,1712884129
